name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,distance_cm,level_pct,ts
"15.5645,-88.0286",2023-12-02,32.8,21.9,26.8,36.7,21.9,28.2,22.4,79.1,0.0,0,0.0,,0,0,19.8,13.9,7.7,1011.7,26.9,8.6,217.2,18.6,8,10,2023-12-02T06:03:36,2023-12-02T17:19:26,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.85,55.9,92000
"15.5645,-88.0286",2023-12-03,31.8,22.8,26.8,38.5,22.8,29.3,23.3,82.0,1.0,100,4.17,rain,0,0,27.0,20.4,10.3,1012.2,58.2,10.3,188.8,16.2,7,30,2023-12-03T06:04:10,2023-12-03T17:19:39,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",8.1,26.4,93000
"15.5645,-88.0286",2023-12-04,29.6,23.0,25.9,34.6,23.0,27.6,24.0,89.6,1.872,100,16.67,rain,0,0,34.2,19.4,5.3,1012.8,74.9,10.1,135.1,11.6,7,30,2023-12-04T06:04:45,2023-12-04T17:19:53,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,V7QK9,78637099999,C6VG7",6.75,38.6,94000
"15.5645,-88.0286",2023-12-05,31.9,24.0,26.5,37.8,24.0,28.2,23.9,86.8,0.318,100,8.33,rain,0,0,37.8,20.3,39.7,1013.8,65.3,9.4,174.6,15.1,7,30,2023-12-05T06:05:20,2023-12-05T17:20:07,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",7.53,31.5,95000
"15.5645,-88.0286",2023-12-06,28.5,22.9,24.5,33.4,22.9,25.0,23.0,91.3,18.175,100,25.0,rain,0,0,42.8,16.1,356.9,1015.4,87.4,9.1,127.7,11.0,5,10,2023-12-06T06:05:54,2023-12-06T17:20:23,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",3.21,70.8,96000
"15.5645,-88.0286",2023-12-07,26.8,22.3,24.4,29.7,22.3,24.6,22.9,91.5,3.013,100,20.83,rain,0,0,38.2,19.8,337.0,1015.3,85.3,9.1,124.3,10.7,6,10,2023-12-07T06:06:29,2023-12-07T17:20:40,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",5.19,52.8,97000
"15.5645,-88.0286",2023-12-08,28.8,21.9,25.3,32.5,21.9,26.4,23.6,91.0,3.0,100,8.33,rain,0,0,37.1,17.9,30.6,1013.3,87.9,9.6,155.6,13.5,6,10,2023-12-08T06:07:04,2023-12-08T17:20:58,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7,remote",3.93,64.3,98000
"15.5645,-88.0286",2023-12-09,29.8,22.1,26.0,33.9,22.1,27.4,23.3,86.2,0.13,100,4.17,rain,0,0,24.1,18.6,41.0,1012.9,48.7,9.7,182.3,15.7,7,10,2023-12-09T06:07:38,2023-12-09T17:21:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.75,56.8,99000
"15.5645,-88.0286",2023-12-10,31.7,22.9,26.4,37.5,22.9,28.2,23.4,85.1,2.797,100,4.17,rain,0,0,26.3,22.4,31.8,1012.1,37.6,9.1,172.1,14.8,7,30,2023-12-10T06:08:12,2023-12-10T17:21:38,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",6.11,44.5,100000
"15.5645,-88.0286",2023-12-11,26.8,22.0,23.9,29.2,22.0,24.1,22.8,94.3,54.513,100,25.0,rain,0,0,44.6,18.0,1.3,1014.3,92.8,6.7,111.0,9.7,6,10,2023-12-11T06:08:47,2023-12-11T17:21:59,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,V7QK9,78637099999,C6VG7",7.33,33.4,101000
"15.5645,-88.0286",2023-12-12,24.6,21.4,22.6,24.6,21.4,22.6,21.0,90.6,11.28,100,20.83,rain,0,0,34.9,16.3,212.3,1015.6,97.0,7.6,34.5,3.0,2,10,2023-12-12T06:09:21,2023-12-12T17:22:21,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",2.85,74.1,102000
"15.5645,-88.0286",2023-12-13,24.8,20.0,22.6,24.8,20.0,22.6,21.4,93.1,6.239,100,25.0,rain,0,0,28.8,13.1,270.4,1015.5,93.9,9.2,71.7,6.0,3,10,2023-12-13T06:09:54,2023-12-13T17:22:44,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",3.05,72.3,103000
"15.5645,-88.0286",2023-12-14,27.7,22.0,23.9,30.7,22.0,24.2,21.9,88.8,0.774,100,12.5,rain,0,0,25.6,11.4,60.3,1013.6,72.1,9.9,128.9,11.1,5,10,2023-12-14T06:10:28,2023-12-14T17:23:07,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.58,58.4,104000
"15.5645,-88.0286",2023-12-15,30.8,22.0,25.3,35.2,22.0,26.4,22.2,84.1,0.0,0,0.0,rain,0,0,18.7,11.7,148.1,1011.2,48.3,10.1,139.9,12.2,5,10,2023-12-15T06:11:01,2023-12-15T17:23:32,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"78706099999,78708099999,MHLM,MGPB,MHTE,V7QK9,78637099999,C6VG7",7.29,33.7,105000
"15.5645,-88.0286",2023-12-16,28.5,22.0,25.0,31.5,22.0,25.8,22.9,88.8,0.584,100,8.33,rain,0,0,27.7,9.8,298.0,1012.3,71.4,9.4,165.3,14.2,6,10,2023-12-16T06:11:33,2023-12-16T17:23:58,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",8.77,20.3,106000
"15.5645,-88.0286",2023-12-17,26.8,20.5,23.7,28.5,20.5,23.8,20.9,84.9,3.33,100,12.5,rain,0,0,38.2,16.7,196.5,1015.2,71.7,9.1,174.0,14.9,6,10,2023-12-17T06:12:06,2023-12-17T17:24:24,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",6.43,41.5,107000
